2012-12-3 14:44,,,,,,,,,,,,,,,,,,
Item,Test Item,Description,Units,LL,UL,VCC,Vramp_Vbat,Txen_Ven,gpctrl0_Vmode0,gpctrl1_Vmode_1,gpctrl2_Vmode_2,Pin,Pout,FreqIn,FreqOut,LossIn,LossOut,SocketOffset
1,Idle_H_Vbat_1920,wcdma idle,mA,0,5,3.4,3.4,1.8,0,0,0,-99,-99,0,0,0,0,0
2,Idle_H_Vcc_1920,wcdma,mA,0,100,3.4,3.4,1.8,0,0,0,-99,-99,0,0,0,0,0
3,Idle_H_Total_1920,wcdma,mA,20,100,3.4,3.4,1.8,0,0,0,-99,-99,0,0,0,0,0
4,Pin_H_1920,wcdma gain,dBm,-2,4,3.4,3.4,1.8,0,0,0,0,27.5,1920,1920,3.708,31.476,0
5,Pout_H_1920,wcdma,dBm,27.4,27.6,3.4,3.4,1.8,0,0,0,0,27.5,1920,1920,3.708,31.476,0
6,Gain_H_1920,wcdma,dB,26,30,3.4,3.4,1.8,0,0,0,0,27.5,1920,1920,3.708,31.476,0
7,Icc_H_Vbat_1920,wcdma,mA,0,10,3.4,3.4,1.8,0,0,0,0,27.5,1920,1920,3.708,31.476,0
8,Icc_H_Vcc_1920,wcdma,mA,0,500,3.4,3.4,1.8,0,0,0,0,27.5,1920,1920,3.708,31.476,0
9,Icc_H_Total_1920,wcdma,mA,100,500,3.4,3.4,1.8,0,0,0,0,27.5,1920,1920,3.708,31.476,0
10,PAE_H_Total_1920,wcdma,%,40,50,3.4,3.4,1.8,0,0,0,0,27.5,1920,1920,3.708,31.476,0
12,ACP_L_H_1920,wcdma acp,dBc,-99,-38,3.4,3.4,1.8,0,0,0,0,27.5,1920,1920,3.708,31.476,0
11,ACP_U_H_1920,wcdma,dBc,-99,-38,3.4,3.4,1.8,0,0,0,0,27.5,1920,1920,3.708,31.476,0
14,ALT_L_H_1920,wcdma,dBc,-99,-49,3.4,3.4,1.8,0,0,0,0,27.5,1920,1920,3.708,31.476,0
13,ALT_U_H_1920,wcdma,dBc,-99,-49,3.4,3.4,1.8,0,0,0,0,27.5,1920,1920,3.708,31.476,0
15,EVM_H_1920,wcdma evm,%,0,5,3.4,3.4,1.8,0,0,0,0,27.5,1920,1920,3.708,31.476,0
16,2fo_H_1920,wcdma harmonic,dBc,-40,-10,3.4,3.4,1.8,0,0,0,0,27.5,1920,3840,3.708,32.314,0
17,Idle_H_Vbat_1980,wcdma idle,mA,0,5,3.4,3.4,1.8,0,0,0,-99,-99,0,0,0,0,0
18,Idle_H_Vcc_1980,wcdma,mA,0,100,3.4,3.4,1.8,0,0,0,-99,-99,0,0,0,0,0
19,Idle_H_Total_1980,wcdma,mA,20,100,3.4,3.4,1.8,0,0,0,-99,-99,0,0,0,0,0
20,Pin_H_1980,wcdma gain,dBm,-2,4,3.4,3.4,1.8,0,0,0,0,27.5,1980,1980,3.66,31.696,0
21,Pout_H_1980,wcdma,dBm,27.4,27.6,3.4,3.4,1.8,0,0,0,0,27.5,1980,1980,3.66,31.696,0
22,Gain_H_1980,wcdma,dB,26,30,3.4,3.4,1.8,0,0,0,0,27.5,1980,1980,3.66,31.696,0
23,Icc_H_Vbat_1980,wcdma,mA,0,10,3.4,3.4,1.8,0,0,0,0,27.5,1980,1980,3.66,31.696,0
24,Icc_H_Vcc_1980,wcdma,mA,0,500,3.4,3.4,1.8,0,0,0,0,27.5,1980,1980,3.66,31.696,0
25,Icc_H_Total_1980,wcdma,mA,100,500,3.4,3.4,1.8,0,0,0,0,27.5,1980,1980,3.66,31.696,0
26,PAE_H_Total_1980,wcdma,%,40,50,3.4,3.4,1.8,0,0,0,0,27.5,1980,1980,3.66,31.696,0
28,ACP_L_H_1980,wcdma acp,dBc,-99,-38,3.4,3.4,1.8,0,0,0,0,27.5,1980,1980,3.66,31.696,0
27,ACP_U_H_1980,wcdma,dBc,-99,-38,3.4,3.4,1.8,0,0,0,0,27.5,1980,1980,3.66,31.696,0
30,ALT_L_H_1980,wcdma,dBc,-99,-49,3.4,3.4,1.8,0,0,0,0,27.5,1980,1980,3.66,31.696,0
29,ALT_U_H_1980,wcdma,dBc,-99,-49,3.4,3.4,1.8,0,0,0,0,27.5,1980,1980,3.66,31.696,0
31,EVM_H_1980,wcdma evm,%,0,5,3.4,3.4,1.8,0,0,0,0,27.5,1980,1980,3.66,31.696,0
32,2fo_H_1980,wcdma harmonic,dBc,-40,-10,3.4,3.4,1.8,0,0,0,0,27.5,1980,3840,3.66,32.314,0
