2014/8/28 12:43:20,,,,,,,,,,,,,,,,,,
Item,Test Item,Description,Units,LL,UL,VCC,Vramp_Vbat,Txen_Ven,gpctrl0_Vmode0,gpctrl1_Vmode_1,gpctrl2_Vmode_2,Pin,Pout,FreqIn,FreqOut,LossIn,LossOut,SocketOffset
1,Idle_H_Vbat,tdd lb idle,mA,0,5,3.4,3.4,1.8,0,0,0,-99,-99,0,0,0,0,0
2,Idle_H_Vcc,tdd lb,mA,0,200,3.4,3.4,1.8,0,0,0,-99,-99,0,0,0,0,0
3,Idle_H_Total,tdd lb,mA,20,200,3.4,3.4,1.8,0,0,0,-99,-99,0,0,0,0,0
4,Pin_H_B40_2300,tdd lb gain,dBm,-4,4,3.4,3.4,1.8,0,0,0,0,27,2300,2300,3.55441789,26.88,0
5,Pout_H_B40_2300,tdd lb,dBm,26.9,27.1,3.4,3.4,1.8,0,0,0,0,27,2300,2300,3.55441789,26.88,1
6,Gain_H_B40_2300,tdd lb,dB,24,30,3.4,3.4,1.8,0,0,0,0,27,2300,2300,3.55441789,26.88,0
7,Icc_H_Vbat_B40_2300,tdd lb,mA,0,20,3.4,3.4,1.8,0,0,0,0,27,2300,2300,3.55441789,26.88,0
8,Icc_H_Vcc_B40_2300,tdd lb,mA,80,750,3.4,3.4,1.8,0,0,0,0,27,2300,2300,3.55441789,26.88,0
9,Icc_H_Total_B40_2300,tdd lb,mA,100,750,3.4,3.4,1.8,0,0,0,0,27,2300,2300,3.55441789,26.88,0
10,PAE_H_Total_B40_2300,tdd lb,%,10,50,3.4,3.4,1.8,0,0,0,0,27,2300,2300,3.55441789,26.88,0
11,EUTRA_ACP_B40_2300,tdd lb acp,dBc,-80,-29.2,3.4,3.4,1.8,0,0,0,0,27,2300,2300,3.55441789,26.88,0
12,UTRA_ACP_L_H_B40_2300,tdd lb,dBc,-80,-32.2,3.4,3.4,1.8,0,0,0,0,27,2300,2300,3.55441789,26.88,0
13,UTRA_ALT_L_H_B40_2300,tdd lb,dBc,-80,-39,3.4,3.4,1.8,0,0,0,0,27,2300,2300,3.55441789,26.88,0
14,EVM_H_B40_2300,tdd lb evm,%,0,5,3.4,3.4,1.8,0,0,0,0,27,2300,2300,3.55441789,26.88,0
18,Pin_H_B40_2400,tdd lb gain,dBm,-4,4,3.4,3.4,1.8,0,0,0,0,27,2400,2400,3.85369566,27.098,0
19,Pout_H_B40_2400,tdd lb,dBm,26.9,27.1,3.4,3.4,1.8,0,0,0,0,27,2400,2400,3.85369566,27.098,0
20,Gain_H_B40_2400,tdd lb,dB,24,30,3.4,3.4,1.8,0,0,0,0,27,2400,2400,3.85369566,27.098,1
21,Icc_H_Vbat_B40_2400,tdd lb,mA,0,20,3.4,3.4,1.8,0,0,0,0,27,2400,2400,3.85369566,27.098,0
22,Icc_H_Vcc_B40_2400,tdd lb,mA,80,750,3.4,3.4,1.8,0,0,0,0,27,2400,2400,3.85369566,27.098,0
23,Icc_H_Total_B40_2400,tdd lb,mA,100,750,3.4,3.4,1.8,0,0,0,0,27,2400,2400,3.85369566,27.098,0
24,PAE_H_Total_B40_2400,tdd lb,%,10,50,3.4,3.4,1.8,0,0,0,0,27,2400,2400,3.85369566,27.098,0
25,EUTRA_ACP_B40_2400,tdd lb acp,dBc,-80,-29.2,3.4,3.4,1.8,0,0,0,0,27,2400,2400,3.85369566,27.098,0
26,UTRA_ACP_L_H_B40_2400,tdd lb,dBc,-80,-32.2,3.4,3.4,1.8,0,0,0,0,27,2400,2400,3.85369566,27.098,0
27,UTRA_ALT_L_H_B40_2400,tdd lb,dBc,-80,-39,3.4,3.4,1.8,0,0,0,0,27,2400,2400,3.85369566,27.098,0
28,EVM_H_B40_2400,tdd lb evm,%,0,5,3.4,3.4,1.8,0,0,0,0,27,2400,2400,3.85369566,27.098,0
29,Pin_H_B38_2496,tdd hb gain,dBm,-4,4,3.4,3.4,1.8,0,0,0,0,27,2496,2496,3.94721794,26.884,0
30,Pout_H_B38_2496,tdd hb,dBm,26.9,27.1,3.4,3.4,1.8,0,0,0,0,27,2496,2496,3.94721794,26.884,1
31,Gain_H_B38_2496,tdd hb,dB,24,30,3.4,3.4,1.8,0,0,0,0,27,2496,2496,3.94721794,26.884,0
32,Icc_H_Vbat_B38_2496,tdd hb,mA,0,20,3.4,3.4,1.8,0,0,0,0,27,2496,2496,3.94721794,26.884,0
33,Icc_H_Vcc_B38_2496,tdd hb,mA,80,750,3.4,3.4,1.8,0,0,0,0,27,2496,2496,3.94721794,26.884,0
34,Icc_H_Total_B38_2496,tdd hb,mA,100,750,3.4,3.4,1.8,0,0,0,0,27,2496,2496,3.94721794,26.884,0
35,PAE_H_Total_B38_2496,tdd hb,%,10,50,3.4,3.4,1.8,0,0,0,0,27,2496,2496,3.94721794,26.884,0
36,EUTRA_ACP_B38_2496,tdd hb acp,dBc,-80,-29.2,3.4,3.4,1.8,0,0,0,0,27,2496,2496,3.94721794,26.884,0
37,UTRA_ACP_L_H_B38_2496,tdd hb,dBc,-80,-32.2,3.4,3.4,1.8,0,0,0,0,27,2496,2496,3.94721794,26.884,0
38,UTRA_ALT_L_H_B38_2496,tdd hb,dBc,-80,-39,3.4,3.4,1.8,0,0,0,0,27,2496,2496,3.94721794,26.884,0
39,EVM_H_B38_2496,tdd hb evm,%,0,5,3.4,3.4,1.8,0,0,0,0,27,2496,2496,3.94721794,26.884,0
40,Pin_H_B38_2690,tdd hb gain,dBm,-4,4,3.4,3.4,1.8,0,0,0,0,27,2690,2690,3.73299292,27.043,0
41,Pout_H_B38_2690,tdd hb,dBm,26.9,27.1,3.4,3.4,1.8,0,0,0,0,27,2690,2690,3.73299292,27.043,0
42,Gain_H_B38_2690,tdd hb,dB,24,30,3.4,3.4,1.8,0,0,0,0,27,2690,2690,3.73299292,27.043,1
43,Icc_H_Vbat_B38_2690,tdd hb,mA,0,20,3.4,3.4,1.8,0,0,0,0,27,2690,2690,3.73299292,27.043,0
44,Icc_H_Vcc_B38_2690,tdd hb,mA,80,750,3.4,3.4,1.8,0,0,0,0,27,2690,2690,3.73299292,27.043,0
45,Icc_H_Total_B38_2690,tdd hb,mA,100,750,3.4,3.4,1.8,0,0,0,0,27,2690,2690,3.73299292,27.043,0
46,PAE_H_Total_B38_2690,tdd hb,%,10,50,3.4,3.4,1.8,0,0,0,0,27,2690,2690,3.73299292,27.043,0
47,EUTRA_ACP_B38_2690,tdd hb acp,dBc,-80,-29.2,3.4,3.4,1.8,0,0,0,0,27,2690,2690,3.73299292,27.043,0
48,UTRA_ACP_L_H_B38_2690,tdd hb,dBc,-80,-32.2,3.4,3.4,1.8,0,0,0,0,27,2690,2690,3.73299292,27.043,0
49,UTRA_ALT_L_H_B38_2690,tdd hb,dBc,-80,-39,3.4,3.4,1.8,0,0,0,0,27,2690,2690,3.73299292,27.043,0
50,EVM_H_B38_2690,tdd hb evm,%,0,5,3.4,3.4,1.8,0,0,0,0,27,2690,2690,3.73299292,27.043,0

